Unnamed: 0,University Scholarship,Presidential Scholarship,Dean’s Scholarship,Merit Scholarship,DU Grand I
,Full Tuition Room & Board,Full Tuition,"$10,000","$8,000","$6,000"
With ACT/SAT Scores,3.8 GPA or higher 27 ACT or 1220 SAT or highe,3.67 – 3.799 GPA 25 ACT or 1200 SAT or higher,3.0 – 3.599 21 ACT or 1060 SAT or higher,2.75 GPA or higher 19 ACT or 990 SAT or higher,2.5 GPA or higher 18 ACT or 960 SAT or higher
W/O ACT/SAT Scores,Not Available,Not Available,3.6 GPA or higher Maintain a 3.0 GPA or higher while enrolled at DU,3.25 – 3.59 GPA Maintain a 2.75 GPA or higher while enrolled at DU,3.0 – 3.249 GPA Maintain a 2.5 GPA or higher while enrolled at DU
