0,1
The Augustinian Scholarshipby invitation only,"Between 30 & 60 scholarships are awarded, each covering 75% of tuition. Each fall, Westmont invites a selection of exemplary applicants who applied Early Action I & II to compete for the awards. Scholarships are renewable with a 3.25 GPA (3.0 for students who are enrolled in two or more honors courses each year).More information about the Augustinian Scholarship"
The President's Scholarship,"Recognizes outstanding academic and personal achievement with a $25,000 scholarship ($100,000 total for four years) which is renewable with a 3.25 GPA (3.0 if enrolled in two or more honors classes each year)."
The Ruth Kerr Scholarship,"Named for our founder, the Ruth Kerr Scholarship offers eligible students $23,000 per year ($92,000 total in four years) and is renewable with a minimum 3.0 GPA."
The Wallace L. Emerson Scholarship,"Honors Westmont’s first president by awarding $21,000 per year ($84,000 total for four years) to deserving students and is renewable with a minimum 3.0 GPA."
The Founder's Scholarship,"Honoring the vision of many faithful men and women who helped Westmont become a premier Christian liberal arts college, this $18,000 annual award ($72,000 total in four years) is renewable with a minimum 2.75 GPA."
The Warrior Academic Award,"Grants $15,000 per year ($60,000 total in four years) to deserving students and is renewable for students in good academic standing with a minimum GPA of 2.0."
