Scholarship,Award,Renewable GPA
Kentucky Governor’s Scholars Program,"$140,000 total ($35,000 annually for four years)",2.5 (minimum)
Kentucky Governor's School for the Arts,"$120,000 total ($30,000 annually for four years)",2.5 (minimum)
Kentucky Governor's School for Entrepreneurs,"$120,000 total ($30,000 annually for four years)",2.5 (minimum)
Centre Fellows Scholarship,"$28,000 minimum per year for four years",2.5 (minimum)
Centre Legacy Scholarship,"$3,000 renewable annual award",No requirement
