0,1,2,3,4,5,6
Award Level: Presidential,"$1,500",High School GPA: 3.50 to 4.0,GED 2002 Graduate Score: 575,GED 2014 Graduate Score: 170,HiSet Graduate Score: 16,Home School Graduate ACT Score: 25
Award Level: Excellence,"$1,000",High School GPA: 3.00 – 3.49,GED 2002 Graduate Score: 540,GED 2014 Graduate Score: 164,HiSet Graduate Score: 14,Home School Graduate ACT Score: 21
Award Level: Access,$500,High School GPA: 2.00 – 2.99,GED 2002 Graduate Score: 500,GED 2014 Graduate Score: 157,HiSet Graduate Score: 12,Home School Graduate ACT Score: 19
