Name,Description,Award Type,GPA,Major,Program,Award Term,Donors
RHC Foundation Scholars,Incoming Freshman. 3.0 G.P.A. or higher. High School unofficial transcript required. Enrolled in 9 units or more. Completed all requirements of incoming freshman: Assessment test; Orientation; Completed Educational Plan with Counselor; Receiving no other financial aid. One (1) Recommendation Letter can be from a former teacher or community member (not family member).,Cash to Student,3.0,Any,Any,Fall,"A Taste of Río donations, RHC Employees"
A Taste of Río Transfer Scholarship,3.0 GPA. Transferring to a 4-year institution. Receives no other form of financial aid.,Transfer,3.0,Any,Any,Spring,"A Taste of Río donations, RHC Employees"
AAUW – American Association of University Women Scholarship,"GPA 3.0. Female student 23 years or older, transferring to a 4-year college or university in the next academic fall. Must be citizen of US. Needs 2 faculty letters of reference.",Transfer,3.0,Any,Any,Spring,AAUW
Achieving the Dream Scholarship,Must be a DREAM Act or eligible for DREAM Act student. Minimum of a 2.5 GPA. Currently enrolled in at least 6 units. Must have a current educational plan on file. Must demonstrate financial need.,Cash to Student,2.5,Any,Any,Fall,RHC Employees
Ad Williamson Memorial Scholarship,"2.5 G.P.A. Completed twenty-four (24) units at Río Hondo College. Must have made an overall contribution to the Theatre Program with special emphasis in the area of stagecraft, such as set design, costume design, etc. Must demonstrate financial need.",Cash to Student,2.5,Any,Any,Fall,RHC Employees
Assistance League® of Whittier Scholarship,"1. GPA 3.0 2. Continuing FT (12 units or equivalent) 3. Residing in the greater Whittier area. Then one of three categories: 1. Single parent students with children under 18 living with them; OR 2. Student with financial need; OR 3. Student in good standing in the nursing program (LVN or RN/ADN). Not pre-nursing. Candidate will be selected by the Assistance League of Whittier scholarship Committee. Recipients must be available to attend an interview with the Assistance League® of Whittier Scholarship Committee, and attend the Assistance League® of Whittier recognition luncheon at the ALW Chapter House (date to be announced).",Cash to Student,3.0,Nursing,"CalWORKs, CARE",Fall,Assistance League
BC McCabe Foundation Nursing Scholarship,3.0 GPA. Nursing Major pursuing LVN or RN. Does not already have a bachelor’s degree. Financial need.,Cash to Student,3.0,Nursing,Any,Fall,RHC Employees
BC McCabe Foundation Veterans Scholarship,2.0 GPA. Must be a Veteran. Has completed 9 units at RHC. Currently enrolled in 9 units. Financial need.,Cash to Student,2.0,Any,Veteran,Fall,RHC Employees
Bender Ceramics Scholarship,"3.00 GPA Art major, ceramics emphasis. 3.5 GPA in ceramics courses. Transferring to 4-year. Recommendation letter from Arts Department faculty.",Transfer,3.0,Any,Any,Spring,RHC Employees
