0,1,2,3,4
Criteria,Scholarship Name,Amount,Duration,Requirements to Maintain the Award
,,,,
This scholarship is intended for students that graduated from a high school in Marshall County.,Marshall County Scholarship,$2300 for the academic year,This is a one-time award that is first come first serve until funds are exhausted. Students that complete the FAFSA application as soon as it opens have a better chance of receiving the award.,Must meet Rust College SAP standards.
"Intended for incoming freshman with a 3.5 cumulative high school GPA, ACT score of 22 or SAT equivalent.",E A Smith Presidential Scholarship,"Covers tuition, fees, on-campus housings, meal plan and textbooks for up to 18 credit hours.",8 semesters,Must maintain a 3.5 cumulative GPA.
"Intended for incoming freshman with a 3.3 cumulative high school GPA, ACT score of 20 or SAT equivalent.",M S Davage Scholarship,$5000 per academic year to cover on campus housing and meal plans.,8 semesters,Must maintain a 3.3 cumulative GPA.
"Intended for incoming freshman with a 3.0 cumulative high school GPA, ACT score of 18 or SAT equivalent.",LM McCoy Scholarship,$3500 per academic year,8 semesters,Must maintain a 3.0 cumulative GPA.
