0,1
Scholarship Name,Eligibility
Arthur F Schulz Jr.,Awarded to children and grandchildren of Principia alumni.
Cornerstone Scholarship,"Awarded to students who demonstrate an active commitment to character development, leadership, community, and practical expressions of godliness."
Christian Science Camper Award,Awarded to those who have attended one (1) or more summer session at a Christian Science Camp as a camper.
Discovery Bound NLC Scholarship,"Awarded to students who successfully complete DiscoveryBound’s selective and demanding four-year program emphasizing spiritual growth, leadership, and service. Verification of graduation from this program is required for eligibility."
Founder's Scholarship,"Awarded to students who demonstrate an active commitment to Christian Science, service, academics, and character growth."
Principia Commitment Award,Awarded to graduates of Principia School who matriculate to Principia College. This award is only available in the student's fourth (4th) year of study at Principia College.
Principia Veterans' Scholarship,Awarded to those who have honorably served in any branch of the United States military and their children who are pursuing an undergraduate degree.
