Award,Eligibility,Amount,Comments
Federal Direct Subsidized Loan,Financial need; Must file a FAFSA,Freshman - $3500 Sophomore - $4500 Junior/Senior - $5500,Must be repaid with interest after graduation or separation from college.
Federal Direct Unsubsidized Loan,Non-need based; Must file a FAFSA,Freshman - $5500 (less any subsidized funds received for the same period) Sophomore - $6500 (less and subsidized funds received for the same period) Junior/Senior - $7500 (less and subsidized funds received for the same period),Must be repaid with interest after graduation or separation from the College; Additional unsubsidized funds available for students deemed independent by the Department of Education.
Federal Direct PLUS Loan,Must file a FAFSA,Up to total cost of attendance less other financial assistance received,Parent borrows on behalf of the student to cover expected contribution; Must be repaid with interest.
Private Loans,Non-need based,Up to total cost of attendance less other financial assistance received,Must be credit-worthy or have a credit-worthy co-signer; Must be repaid with interest.
Federal Work Study,Must file a FAFSA,Amount varies,Money earned while attending school; Does not have to be repaid.
