0,1
Amount,Full-Tuition (does not cover incoming deposits or fees)
Criteria,"Must be a first-time, full-time domestic freshman. International applicants are not eligible. Have a minimum 3.5 cumulative high school GPA on a 4.0 scale and a 23 or greater on the ACT (or SAT score of 1130). TEST OPTIONAL Prospective scholars must apply and submit all documents (official transcript(s), ACT/SAT scores, and letter of recommendation) by December 1. Must be enrolled full-time (12-18 credit hours) at HSSU to receive the scholarship."
Renewal,Recipients must complete a minimum of 30 credit hours annually at HSSU between the fall and spring semesters and maintain a 3.5 or greater cumulative GPA. The Board of Regents Scholarship is renewable for up to eight (8) semesters or completing an undergraduate degree.
