Bullet,name,award,deadline,Link,Unnamed: 5
,HACU-IES Abroad Scholarship Institute for the International Education of Students (IES Abroad),"Up to $5,000",Varies,See Details,
"Description The HACU-IES Abroad Scholarship is available to students who are currently attending a Hispanic-Serving Institution that is a member of Hispanic Association of Colleges & Universities (HACU). You must be a US citizen or permanent resident, have a minimum GPA of 3.3, and demostrate financial need to be eligible for this award. Priority given to... View Scholarship Details","Description The HACU-IES Abroad Scholarship is available to students who are currently attending a Hispanic-Serving Institution that is a member of Hispanic Association of Colleges & Universities (HACU). You must be a US citizen or permanent resident, have a minimum GPA of 3.3, and demostrate financial need to be eligible for this award. Priority given to... View Scholarship Details","Description The HACU-IES Abroad Scholarship is available to students who are currently attending a Hispanic-Serving Institution that is a member of Hispanic Association of Colleges & Universities (HACU). You must be a US citizen or permanent resident, have a minimum GPA of 3.3, and demostrate financial need to be eligible for this award. Priority given to... View Scholarship Details","Description The HACU-IES Abroad Scholarship is available to students who are currently attending a Hispanic-Serving Institution that is a member of Hispanic Association of Colleges & Universities (HACU). You must be a US citizen or permanent resident, have a minimum GPA of 3.3, and demostrate financial need to be eligible for this award. Priority given to... View Scholarship Details","Description The HACU-IES Abroad Scholarship is available to students who are currently attending a Hispanic-Serving Institution that is a member of Hispanic Association of Colleges & Universities (HACU). You must be a US citizen or permanent resident, have a minimum GPA of 3.3, and demostrate financial need to be eligible for this award. Priority given to... View Scholarship Details",
,HACU-IES Abroad Scholarship Institute for the International Education of Students (IES Abroad),HACU-IES Abroad Scholarship Institute for the International Education of Students (IES Abroad),HACU-IES Abroad Scholarship Institute for the International Education of Students (IES Abroad),HACU-IES Abroad Scholarship Institute for the International Education of Students (IES Abroad),HACU-IES Abroad Scholarship Institute for the International Education of Students (IES Abroad)
,"award Up to $5,000","award Up to $5,000",deadline Varies,deadline Varies,deadline Varies
,See Details,See Details,See Details,See Details,See Details
"Description The HACU-IES Abroad Scholarship is available to students who are currently attending a Hispanic-Serving Institution that is a member of Hispanic Association of Colleges & Universities (HACU). You must be a US citizen or permanent resident, have a minimum GPA of 3.3, and demostrate financial need to be eligible for this award. Priority given to... View Scholarship Details","Description The HACU-IES Abroad Scholarship is available to students who are currently attending a Hispanic-Serving Institution that is a member of Hispanic Association of Colleges & Universities (HACU). You must be a US citizen or permanent resident, have a minimum GPA of 3.3, and demostrate financial need to be eligible for this award. Priority given to... View Scholarship Details","Description The HACU-IES Abroad Scholarship is available to students who are currently attending a Hispanic-Serving Institution that is a member of Hispanic Association of Colleges & Universities (HACU). You must be a US citizen or permanent resident, have a minimum GPA of 3.3, and demostrate financial need to be eligible for this award. Priority given to... View Scholarship Details","Description The HACU-IES Abroad Scholarship is available to students who are currently attending a Hispanic-Serving Institution that is a member of Hispanic Association of Colleges & Universities (HACU). You must be a US citizen or permanent resident, have a minimum GPA of 3.3, and demostrate financial need to be eligible for this award. Priority given to... View Scholarship Details","Description The HACU-IES Abroad Scholarship is available to students who are currently attending a Hispanic-Serving Institution that is a member of Hispanic Association of Colleges & Universities (HACU). You must be a US citizen or permanent resident, have a minimum GPA of 3.3, and demostrate financial need to be eligible for this award. Priority given to... View Scholarship Details","Description The HACU-IES Abroad Scholarship is available to students who are currently attending a Hispanic-Serving Institution that is a member of Hispanic Association of Colleges & Universities (HACU). You must be a US citizen or permanent resident, have a minimum GPA of 3.3, and demostrate financial need to be eligible for this award. Priority given to... View Scholarship Details"
