0,1
Amount,"$1,000/Year"
Criteria,"Must be a first-time, full-time freshman. Have a cumulative high school GPA between 3.00 - 3.249 on a 4.0 scale. Prospective scholars must apply and submit all documents (official transcript(s), ACT/SAT scores, and letter of recommendation) by December 1. Must be enrolled full-time (12-18 credit hours) at HSSU to receive the scholarship."
Renewal,Recipients must complete a minimum of 30 credit hours annually at HSSU between the fall and spring semesters and maintain a 3.25 or greater cumulative GPA. The Opportunity Scholarship is renewable for up to eight (8) semesters or completing an undergraduate degree.
