Unnamed: 0,Amount,GPA Only,GPA with Test Scores
Trustee Scholarship,"$22,000/year",Test Score Required,"3.95+ GPA with 34+ ACT, 1490+ SAT, or 103+ CLT"
Presidential Scholarship,"$14,000/year and up",3.95+ GPA,"3.8+ GPA with 28+ ACT, 1300+ SAT, or 86+ CLT"
Distinguished Scholar Award,"$12,000/year",3.8+ GPA,"3.6+ GPA with 26+ ACT, 1230+ SAT, or 81+ CLT"
Alumni Honors Scholarship,"$10,000/year",3.6+ GPA,"3.4+ GPA with 24+ ACT, 1160+ SAT, or 76+ CLT"
Anchor Award,"$8,000/year",3.4+ GPA,"3.2+ GPA and 22+ ACT, 1100+ SAT, or 72+ CLT"
