0,1
The President's Scholarship,"Recognizes the outstanding academic and personal achievements of transfer students having earned at least a 3.75 college GPA with a $20,000 scholarship that is renewable with a 3.25 Westmont GPA (3.0 for students who are enrolled in two or more honors classes each year)."
The Ruth Kerr Scholarship,"Named for our founder, the Ruth Kerr Scholarship offers eligible transfer students with at least a 3.35 college GPA $15,000 per year and is renewable with a minimum 3.0 Westmont GPA."
The Founder's Scholarship,"Honoring the vision of many faithful men and women who helped Westmont become a premier Christian liberal arts college, this $12,000 annual award for transfer students with at least a 3.0 college GPA is renewable with a minimum 2.75 Westmont GPA."
