Scholarship Name,Required GPA,Required ACT,Required SAT,Award Details,Renewal Requirements
Presidential Scholarship (Eligible for High School graduated Only),3.7,24,1190,"Covers Tuition, Room/Board and Books","15 hours per semester minimum, 3.5 cumulative GPA, 20 tutoring hours per semester"
Dean's Scholarship,3.2,20,1050,"Total Award: $20,000.00 Per Year: $5,000.00 Per Semester: $2,500.00","15 hours per semester minimum, 3.3 cumulative GPA, 10 tutoring hours per semester"
Bridge Scholarship,2.75,Test score required/ no minimum requirement,Test score required/ no minimum requirement,"Total Award: $10,000.00 Per Year: $2,500.00 Per Semester: $1,250.00","15 hours per semester minimum, 2.5 cumulative GPA"
