National Merit Finalist 100% of originally federaly approved cost of attendance,National Merit Finalist 100% of originally federaly approved cost of attendance,HIGH SCHOOL GPA (UNWEIGHTED),HIGH SCHOOL GPA (UNWEIGHTED),HIGH SCHOOL GPA (UNWEIGHTED),HIGH SCHOOL GPA (UNWEIGHTED),HIGH SCHOOL GPA (UNWEIGHTED),HIGH SCHOOL GPA (UNWEIGHTED)
National Merit Finalist 100% of originally federaly approved cost of attendance,National Merit Finalist 100% of originally federaly approved cost of attendance.1,4.0-3.96,3.95-3.86,3.85-3.76,3.75-3.66,3.65-3.5,3.49-3.0
TEST SCORE,1500-1600 SAT or 34-36 ACT,"$9,000 per year","$8,000 per year","$7,000 per year","$5,500 per year","$5,000 per year","$4,000 per year"
TEST SCORE,1400-1490 SAT or 31-33 ACT,"$8,000 per year","$7,000 per year","$6,000 per year","$4,500 per year","$4,000 per year","$3,000 per year"
TEST SCORE,1300-1390 SAT or 28-30 ACT,"$6,500 per year","$5,500 per year","$4,500 per year","$3,000 per year","$2,500 per year","$1,500 per year"
TEST SCORE,1200-1290 SAT or 25-27 ACT,"$6,000 per year","$5,000 per year","$4,000 per year","$2,500 per year","$2,000 per year","$1,000 per year"
TEST SCORE,1100-1190 SAT or 22-24 ACT,"$5,000 per year","$4,000 per year","$3,000 per year","$1,500 per year","$1,000 per year","$1,000 per year"
,"*Test Optional Add $1,000 if Top 10%","*$4,000 per year","*$3,000 per year","*$2,000 per year","*$1,500 per year","*$1,000 per year",
