0,1
Amount,"In-State: $2,000/Year Out-of-State: $5,000/Year"
Criteria,Have a minimum 3.5 cumulative GPA (grades from ALL schools attended). Have 60+ transferable credit hours or an earned AA/AS degree from an accredited institution. Must be enrolled full-time (12-18 credit hours) at HSSU to receive the scholarship.
Renewal,Recipients must complete a minimum of 30 credit hours annually at HSSU between the fall and spring semesters and maintain a cumulative GPA of 3.5 or better. Renewable for up to four (4) semesters or completing an undergraduate degree.
