0,1,2
"The chart below shows an example of how awards may be stacked to equal full cost of attendance. Actual award packages will vary, including the name and dollar amount of awards, based on several factors such as enrollment hours, eligibility for need-based grants, private or non-UNF scholarships awarded to a student, housing plans, etc.","The chart below shows an example of how awards may be stacked to equal full cost of attendance. Actual award packages will vary, including the name and dollar amount of awards, based on several factors such as enrollment hours, eligibility for need-based grants, private or non-UNF scholarships awarded to a student, housing plans, etc.","The chart below shows an example of how awards may be stacked to equal full cost of attendance. Actual award packages will vary, including the name and dollar amount of awards, based on several factors such as enrollment hours, eligibility for need-based grants, private or non-UNF scholarships awarded to a student, housing plans, etc."
Category,Florida Resident,Non-Florida Resident
In-State Tuition/Fees Waiver,"$6,390","$6,390"
Out-of-State Tuition/Fees Waiver,,"$14,400"
Bright Futures Academic Scholar,"$6,390",
UNF Presidential Platinum,"$5,000","$5,000"
UNF Enrollment Services Scholarships*,"$7,017","$13,407"
Total,"$24,797","$39,197"
