In-State Scholarships,Description
Alfred State Scholars,"Up to $5,000 per year awarded to academically talented first-time, full-time students entering a baccalaureate-degree program; must be a New York State resident; specific value will be determined by strength of academic background and funding availability; on-campus study required on the Alfred or Wellsville campus;applied to non-tuition expenses (e.g., books and supplies, fees, transportation); preference given to students accepted by March 15; no scholarship application necessary. Continued eligibility is contingent upon obtaining a 2.0 GPA each semester, remaining continuously enrolled full-time, and studying on-campus on the Alfred or Wellsville campus."
Alfred State Pioneer Award,"Up to $2,500 per year awarded to academically talented first-time, full-time students entering an associate-degree program; must be a New York State resident; specific value will be determined by strength of academic background and funding availability; on-campus study required on the Alfred or Wellsville campus; applied to non-tuition expenses (e.g., books and supplies, fees, transportation); preference given to students accepted by March 15; no scholarship application necessary. Continued eligibility is contingent upon obtaining a 2.0 GPA each semester, remaining continuously enrolled full-time, and studying on-campus on the Alfred or Wellsville campus."
