0,1
Amount,"In-State: $1,200/Year Out-of-State: $2,400/Year"
Criteria,Have a minimum 3.25 cumulative GPA (grades from ALL schools attended). Have 30+ transferable credit hours from an accredited institution. Must be enrolled full-time (12-18 credit hours) at HSSU to receive the scholarship.
Renewal,Recipients must complete a minimum of 30 credit hours annually at HSSU between the fall and spring semesters and maintain a cumulative GPA of 3.25 or better. Renewable for up to six (6) semesters or completing an undergraduate degree.
