Scholarship,Eligibility,Award,Renewal
Presidential Scholarship,"GPA 3.5+ & application (essay, video, or creative project)",One-rate tuition +base-rate housing & base-rate dining,Total of 4 years
Sen. Philip A. Hart Memorial Scholarship,"Michigan resident, GPA 3.0+, leadership/service",One-rate tuition,Total of 4 years
Laker Lineage Scholarship,Child/stepchild of LSSU alumni,"$2,000",One-time
Anchor Award,"From select rural high schools, living on campus, & FAFSA filed","$2,500",Total of 2 years
Eastern U.P. Award,"From Luce, Chippewa, or Mackinac counties","$2,000",Total of 4 years
