0,1,2
Federal Student Aid,Washington State Aid,Institutional Scholarships
Pell Grant Federal Supplementary Educational Opportunity Grant (FSEOG) Federal Work Study,College Bound Scholarship* Washington College Grant* Passport to College Scholarship* State Work Study,NWIC Foundation Scholarships Emergency Aid American Indian College Fund TCU Scholarship
*Students must complete a Financial Aid Data Sheet for these funds to be released. This can be completed on the Financial Aid page on JICS under Online Forms.,*Students must complete a Financial Aid Data Sheet for these funds to be released. This can be completed on the Financial Aid page on JICS under Online Forms.,*Students must complete a Financial Aid Data Sheet for these funds to be released. This can be completed on the Financial Aid page on JICS under Online Forms.
