Out-of-State Freeway Scholarships,Description
Alfred State Scholars,"Up to $10,420 per year awarded to academically talented first-time, full-time, residential students entering a baccalaureate-degree program; must reside and attend high school outside of New York State; specific value will be determined by strength of academic background and funding availability; on-campus study required on the Alfred or Wellsville campus; award value is subject to change if tuition rates are updated by NYS; preference given to students accepted by March 15; no scholarship application necessary. Continued eligibility is contingent upon obtaining a 2.0 GPA each semester, remaining continuously enrolled full-time, living on campus, and studying on-campus on the Alfred or Wellsville campus."
Alfred State Pioneer Award,"Up to $4,590 per year awarded to academically talented first-time, full-time, residential students entering an associate-degree program; must reside and attend high school outside of New York State; specific value will be determined by strength of academic background and funding availability; on-campus study required on the Alfred or Wellsville campus; award value is subject to change if tuition rates are updated by NYS; preference given to students accepted by March 15; no scholarship application necessary. Continued eligibility is contingent upon obtaining a 2.0 GPA each semester, remaining continuously enrolled full-time, living on campus, and studying on-campus on the Alfred or Wellsville campus."
