0,1,2
,Fall Semester,Spring Semester
1st Year,GPA not monitored,"If cumulative GPA is below the requirements, student will be placed on merit warning for the following semester"
2nd Year,GPA is checked at the end of the semester,"If cumulative GPA is below the requirements, merit scholarship will be reduced for the 3rd year"
3rd Year,GPA is checked at the end of the semester,"If cumulative GPA is below the requirements, merit scholarship will be reduced for the 4th year"
4th Year,GPA is checked at the end of the semester,"After the 4th year if cumulative GPA is below the requirements, merit scholarship may be reviewed on a case-by-case basis and only awarded at the decreased amount"
