Unnamed: 0,Florida Academic Scholars Award,Florida Medallion Scholars Award,Florida Gold Seal Vocational Scholars Award
Minimum Cumulative GPA (unrounded & unweighted),3.0*,2.75,2.75
Minimum Hours Required Per Term if funded Full Time (12+ hours),12 semester** (earned hours),12 semester** (earned hours),12 semester** (earned hours)
"Minimum Hours Required Per Term, if funded Three-quarter Time (9-11 hours)",9 semester** (earned hours),9 semester** (earned hours),9 semester** (earned hours)
"Minimum Hours Required Per Term, if funded Half Time (6-8 hours)",6 semester** (earned hours),6 semester** (earned hours),6 semester** (earned hours)
*Florida Academic Scholars with 2.75-2.99 will renew as Florida Medallion Scholars. **Or the equivalent in quarter or clock hours.,*Florida Academic Scholars with 2.75-2.99 will renew as Florida Medallion Scholars. **Or the equivalent in quarter or clock hours.,*Florida Academic Scholars with 2.75-2.99 will renew as Florida Medallion Scholars. **Or the equivalent in quarter or clock hours.,*Florida Academic Scholars with 2.75-2.99 will renew as Florida Medallion Scholars. **Or the equivalent in quarter or clock hours.
